sku,month,percentile_level,approx_threshold,exact_threshold,threshold_delta
AN201-RED-M,2022-04,P80,1.0,1.0,0.0
AN201-RED-M,2022-04,P90,1.0,1.0,0.0
AN201-RED-M,2022-05,P80,19.0,19.0,0.0
AN201-RED-M,2022-05,P90,19.0,19.0,0.0
AN201-RED-XL,2022-06,P80,1.0,1.0,0.0
AN201-RED-XL,2022-06,P90,1.0,1.0,0.0
AN201-RED-XXL,2022-05,P80,23.0,23.0,0.0
AN201-RED-XXL,2022-05,P90,23.0,23.0,0.0
AN202-ORANGE-M,2022-04,P80,18.0,18.0,0.0
AN202-ORANGE-M,2022-04,P90,18.0,18.0,0.0
AN202-ORANGE-M,2022-05,P80,22.0,22.0,0.0
AN202-ORANGE-M,2022-05,P90,22.0,22.0,0.0
AN202-ORANGE-S,2022-04,P80,0.0,0.0,0.0
AN202-ORANGE-S,2022-04,P90,0.0,0.0,0.0
AN202-ORANGE-S,2022-05,P80,1.0,1.0,0.0
AN202-ORANGE-S,2022-05,P90,1.0,1.0,0.0
AN202-ORANGE-XXL,2022-04,P80,1.0,1.0,0.0
AN202-ORANGE-XXL,2022-04,P90,1.0,1.0,0.0
AN203-MAROON-XXL,2022-05,P80,30.0,30.0,0.0
AN203-MAROON-XXL,2022-05,P90,30.0,30.0,0.0
AN204-PURPLE-L,2022-05,P80,22.0,22.0,0.0
AN204-PURPLE-L,2022-05,P90,22.0,22.0,0.0
AN204-PURPLE-L,2022-06,P80,17.0,17.0,0.0
AN204-PURPLE-L,2022-06,P90,17.0,17.0,0.0
AN204-PURPLE-M,2022-06,P80,22.0,22.0,0.0
AN204-PURPLE-M,2022-06,P90,22.0,22.0,0.0
AN204-PURPLE-S,2022-06,P80,25.0,25.0,0.0
AN204-PURPLE-S,2022-06,P90,25.0,25.0,0.0
AN204-PURPLE-XL,2022-05,P80,0.0,0.0,0.0
AN204-PURPLE-XL,2022-05,P90,0.0,0.0,0.0
AN204-PURPLE-XXL,2022-06,P80,28.0,28.0,0.0
AN204-PURPLE-XXL,2022-06,P90,28.0,28.0,0.0
AN205-YELLOW-S,2022-04,P80,0.0,0.0,0.0
AN205-YELLOW-S,2022-04,P90,0.0,0.0,0.0
AN205-YELLOW-XL,2022-05,P80,1.0,1.0,0.0
AN205-YELLOW-XL,2022-05,P90,1.0,1.0,0.0
AN205-YELLOW-XL,2022-06,P80,29.0,29.0,0.0
AN205-YELLOW-XL,2022-06,P90,29.0,29.0,0.0
AN205-YELLOW-XXL,2022-06,P80,0.0,0.0,0.0
AN205-YELLOW-XXL,2022-06,P90,0.0,0.0,0.0
AN206-GREEN-M,2022-04,P80,0.0,0.0,0.0
AN206-GREEN-M,2022-04,P90,0.0,0.0,0.0
AN206-GREEN-S,2022-06,P80,15.0,15.0,0.0
AN206-GREEN-S,2022-06,P90,15.0,15.0,0.0
AN206-GREEN-XL,2022-06,P80,29.0,29.0,0.0
AN206-GREEN-XL,2022-06,P90,29.0,29.0,0.0
AN207-PINK-L,2022-05,P80,23.0,23.0,0.0
AN207-PINK-L,2022-05,P90,23.0,23.0,0.0
AN207-PINK-S,2022-06,P80,19.0,19.0,0.0
AN207-PINK-S,2022-06,P90,19.0,19.0,0.0
AN207-PINK-XXL,2022-05,P80,30.0,30.0,0.0
AN207-PINK-XXL,2022-05,P90,30.0,30.0,0.0
AN208-MUSTARD-L,2022-05,P80,0.0,0.0,0.0
AN208-MUSTARD-L,2022-05,P90,0.0,0.0,0.0
AN208-MUSTARD-M,2022-04,P80,1.0,1.0,0.0
AN208-MUSTARD-M,2022-04,P90,1.0,1.0,0.0
AN208-MUSTARD-S,2022-04,P80,0.0,0.0,0.0
AN208-MUSTARD-S,2022-04,P90,0.0,0.0,0.0
AN208-MUSTARD-S,2022-05,P80,0.0,0.0,0.0
AN208-MUSTARD-S,2022-05,P90,0.0,0.0,0.0
AN208-MUSTARD-XL,2022-04,P80,1.0,1.0,0.0
AN208-MUSTARD-XL,2022-04,P90,1.0,1.0,0.0
AN208-MUSTARD-XL,2022-06,P80,0.0,0.0,0.0
AN208-MUSTARD-XL,2022-06,P90,0.0,0.0,0.0
AN208-MUSTARD-XXL,2022-04,P80,23.0,23.0,0.0
AN208-MUSTARD-XXL,2022-04,P90,23.0,23.0,0.0
AN208-MUSTARD-XXL,2022-05,P80,28.0,28.0,0.0
AN208-MUSTARD-XXL,2022-05,P90,28.0,28.0,0.0
AN209-BIEGE-XL,2022-04,P80,1.0,1.0,0.0
AN209-BIEGE-XL,2022-04,P90,1.0,1.0,0.0
AN209-BIEGE-XL,2022-05,P80,19.0,19.0,0.0
AN209-BIEGE-XL,2022-05,P90,19.0,19.0,0.0
AN209-BIEGE-XL,2022-06,P80,20.0,20.0,0.0
AN209-BIEGE-XL,2022-06,P90,20.0,20.0,0.0
AN209-BIEGE-XXL,2022-05,P80,16.0,16.0,0.0
AN209-BIEGE-XXL,2022-05,P90,16.0,16.0,0.0
AN210-NAVY-M,2022-05,P80,0.0,0.0,0.0
AN210-NAVY-M,2022-05,P90,0.0,0.0,0.0
AN210-NAVY-XL,2022-06,P80,0.0,0.0,0.0
AN210-NAVY-XL,2022-06,P90,0.0,0.0,0.0
AN211-BLACK-L,2022-05,P80,21.0,21.0,0.0
AN211-BLACK-L,2022-05,P90,21.0,21.0,0.0
AN211-BLACK-L,2022-06,P80,23.0,23.0,0.0
AN211-BLACK-L,2022-06,P90,23.0,23.0,0.0
AN211-BLACK-S,2022-05,P80,19.0,19.0,0.0
AN211-BLACK-S,2022-05,P90,19.0,19.0,0.0
AN211-BLACK-S,2022-06,P80,30.0,30.0,0.0
AN211-BLACK-S,2022-06,P90,30.0,30.0,0.0
AN211-BLACK-XL,2022-06,P80,21.0,21.0,0.0
AN211-BLACK-XL,2022-06,P90,21.0,21.0,0.0
AN211-BLACK-XXL,2022-05,P80,30.0,30.0,0.0
AN211-BLACK-XXL,2022-05,P90,30.0,30.0,0.0
AN211-BLACK-XXL,2022-06,P80,18.0,18.0,0.0
AN211-BLACK-XXL,2022-06,P90,18.0,18.0,0.0
AN212-WHITE-L,2022-06,P80,0.0,0.0,0.0
AN212-WHITE-L,2022-06,P90,0.0,0.0,0.0
AN212-WHITE-M,2022-06,P80,19.0,19.0,0.0
AN212-WHITE-M,2022-06,P90,19.0,19.0,0.0
AN212-WHITE-S,2022-06,P80,0.0,0.0,0.0
AN212-WHITE-S,2022-06,P90,0.0,0.0,0.0
AN212-WHITE-XL,2022-06,P80,29.0,29.0,0.0
AN212-WHITE-XL,2022-06,P90,29.0,29.0,0.0
AN212-WHITE-XXL,2022-06,P80,1.0,1.0,0.0
AN212-WHITE-XXL,2022-06,P90,1.0,1.0,0.0
AN213-BROWN-L,2022-05,P80,20.0,20.0,0.0
AN213-BROWN-L,2022-05,P90,22.0,22.0,0.0
AN213-BROWN-M,2022-05,P80,15.0,15.0,0.0
AN213-BROWN-M,2022-05,P90,15.0,15.0,0.0
AN213-BROWN-S,2022-04,P80,1.0,1.0,0.0
AN213-BROWN-S,2022-04,P90,1.0,1.0,0.0
AN213-BROWN-S,2022-05,P80,21.0,21.0,0.0
AN213-BROWN-S,2022-05,P90,21.0,21.0,0.0
AN213-BROWN-S,2022-06,P80,1.0,1.0,0.0
AN213-BROWN-S,2022-06,P90,1.0,1.0,0.0
AN213-BROWN-XL,2022-05,P80,16.0,16.0,0.0
AN213-BROWN-XL,2022-05,P90,16.0,16.0,0.0
BL001-50PINK,2022-04,P80,1.0,1.0,0.0
BL001-50PINK,2022-04,P90,1.0,1.0,0.0
BL003-50BLACK,2022-04,P80,0.0,0.0,0.0
BL003-50BLACK,2022-04,P90,0.0,0.0,0.0
BL003-50BLACK-B,2022-04,P80,20.0,20.0,0.0
