state,window_date,window_days,winning_size,frequency,population_variance
ANDAMAN & NICOBAR,2022-04-02,10,M,1,0.0
ANDAMAN & NICOBAR,2022-04-03,10,S,2,5700.25
ANDAMAN & NICOBAR,2022-04-04,10,S,3,76126.8888888889
ANDAMAN & NICOBAR,2022-04-05,10,XS,3,10072.888888888876
ANDAMAN & NICOBAR,2022-04-06,10,XS,3,10072.888888888876
ANDAMAN & NICOBAR,2022-04-07,10,S,4,57160.5
ANDAMAN & NICOBAR,2022-04-08,10,XL,4,23102.75
ANDAMAN & NICOBAR,2022-04-09,10,XL,5,18957.440000000002
ANDAMAN & NICOBAR,2022-04-10,10,XL,5,18957.440000000002
ANDAMAN & NICOBAR,2022-04-11,10,XL,5,18957.440000000002
ANDAMAN & NICOBAR,2022-04-12,10,XL,5,18957.440000000002
ANDAMAN & NICOBAR,2022-04-13,10,XXL,5,29763.840000000026
ANDAMAN & NICOBAR,2022-04-14,10,XXL,5,27159.03999999998
ANDAMAN & NICOBAR,2022-04-15,10,XXL,8,29638.859375
ANDAMAN & NICOBAR,2022-04-16,10,XXL,9,50655.77777777775
ANDAMAN & NICOBAR,2022-04-17,10,XXL,8,56751.359375
ANDAMAN & NICOBAR,2022-04-18,10,XXL,8,56751.359375
ANDAMAN & NICOBAR,2022-04-19,10,XXL,7,52967.67346938775
ANDAMAN & NICOBAR,2022-04-20,10,XXL,6,61278.47222222219
ANDAMAN & NICOBAR,2022-04-21,10,XL,6,27454.333333333314
ANDAMAN & NICOBAR,2022-04-22,10,XL,7,24355.632653061184
ANDAMAN & NICOBAR,2022-04-23,10,XL,7,24355.632653061184
ANDAMAN & NICOBAR,2022-04-24,10,XL,7,24355.632653061184
ANDAMAN & NICOBAR,2022-04-25,10,XL,7,24355.632653061184
ANDAMAN & NICOBAR,2022-04-26,10,XL,6,26933.47222222219
ANDAMAN & NICOBAR,2022-04-27,10,XL,6,24984.805555555533
ANDAMAN & NICOBAR,2022-04-28,10,XL,6,24984.805555555533
ANDAMAN & NICOBAR,2022-04-29,10,S,5,47203.75999999989
ANDAMAN & NICOBAR,2022-04-30,10,XXL,4,38710.6875
ANDAMAN & NICOBAR,2022-05-01,10,XXL,4,38710.6875
ANDAMAN & NICOBAR,2022-05-02,10,3XL,4,138258.1875
ANDAMAN & NICOBAR,2022-05-03,10,S,3,64784.22222222213
