state,month,median_variety,qualifying_style_count
ANDAMAN & NICOBAR,2022-04,1.0,21
ANDAMAN & NICOBAR,2022-05,1.0,19
ANDAMAN & NICOBAR,2022-06,1.0,14
ANDHRA PRADESH,2022-03,1.0,2
ANDHRA PRADESH,2022-04,2.0,246
ANDHRA PRADESH,2022-05,2.0,228
ANDHRA PRADESH,2022-06,2.0,211
ARUNACHAL PRADESH,2022-04,1.0,7
ARUNACHAL PRADESH,2022-05,1.0,8
ARUNACHAL PRADESH,2022-06,1.0,3
ASSAM,2022-04,2.0,90
ASSAM,2022-05,1.0,73
ASSAM,2022-06,1.0,74
BIHAR,2022-04,2.0,106
BIHAR,2022-05,2.0,98
BIHAR,2022-06,1.0,91
CHANDIGARH,2022-03,1.0,1
CHANDIGARH,2022-04,1.0,31
CHANDIGARH,2022-05,1.0,30
CHANDIGARH,2022-06,1.0,20
CHHATTISGARH,2022-04,1.0,55
CHHATTISGARH,2022-05,1.0,51
CHHATTISGARH,2022-06,1.0,50
DADRA AND NAGAR,2022-04,1.0,7
DADRA AND NAGAR,2022-05,1.0,4
DADRA AND NAGAR,2022-06,1.0,1
DELHI,2022-03,1.0,2
DELHI,2022-04,3.0,320
DELHI,2022-05,2.0,308
DELHI,2022-06,2.0,293
GOA,2022-03,1.0,1
GOA,2022-04,1.0,83
GOA,2022-05,1.0,68
GOA,2022-06,1.0,62
GUJARAT,2022-03,1.0,5
GUJARAT,2022-04,2.0,252
GUJARAT,2022-05,2.0,253
GUJARAT,2022-06,2.0,212
HARYANA,2022-03,1.0,1
HARYANA,2022-04,2.0,227
HARYANA,2022-05,2.0,209
HARYANA,2022-06,2.0,201
HIMACHAL PRADESH,2022-04,2.0,40
HIMACHAL PRADESH,2022-05,1.0,33
HIMACHAL PRADESH,2022-06,1.0,26
JAMMU & KASHMIR,2022-04,1.0,56
JAMMU & KASHMIR,2022-05,1.0,52
JAMMU & KASHMIR,2022-06,1.0,56
JHARKHAND,2022-04,2.0,71
JHARKHAND,2022-05,1.0,83
JHARKHAND,2022-06,1.0,60
KARNATAKA,2022-03,1.0,5
KARNATAKA,2022-04,3.0,527
KARNATAKA,2022-05,3.0,444
KARNATAKA,2022-06,3.0,474
KERALA,2022-03,1.0,1
KERALA,2022-04,2.0,242
KERALA,2022-05,2.0,222
KERALA,2022-06,2.0,208
LADAKH,2022-04,1.0,4
LADAKH,2022-05,1.0,3
LADAKH,2022-06,1.0,1
LAKSHADWEEP,2022-06,1.0,1
MADHYA PRADESH,2022-04,2.0,148
MADHYA PRADESH,2022-05,2.0,144
MADHYA PRADESH,2022-06,1.0,115
MAHARASHTRA,2022-03,1.0,5
MAHARASHTRA,2022-04,4.0,621
MAHARASHTRA,2022-05,3.0,580
MAHARASHTRA,2022-06,3.0,544
MANIPUR,2022-04,1.0,28
MANIPUR,2022-05,1.0,20
MANIPUR,2022-06,1.0,7
MEGHALAYA,2022-04,1.0,14
MEGHALAYA,2022-05,1.0,8
MEGHALAYA,2022-06,1.0,5
MIZORAM,2022-04,1.0,4
MIZORAM,2022-05,1.0,8
MIZORAM,2022-06,1.0,6
NAGALAND,2022-04,1.0,7
NAGALAND,2022-05,1.0,14
NAGALAND,2022-06,1.0,15
NEW DELHI,2022-04,1.0,7
NEW DELHI,2022-05,1.0,4
NEW DELHI,2022-06,1.0,7
ODISHA,2022-03,1.0,2
ODISHA,2022-04,2.0,136
ODISHA,2022-05,2.0,89
ODISHA,2022-06,1.0,97
ORISSA,2022-06,1.0,1
PB,2022-04,1.0,1
PONDICHERRY,2022-05,1.0,1
PUDUCHERRY,2022-04,1.0,20
PUDUCHERRY,2022-05,1.0,21
PUDUCHERRY,2022-06,1.0,21
PUNJAB,2022-04,2.0,127
PUNJAB,2022-05,2.0,134
PUNJAB,2022-06,1.0,99
RAJASTHAN,2022-03,1.0,1
RAJASTHAN,2022-04,2.0,134
RAJASTHAN,2022-05,2.0,147
RAJASTHAN,2022-06,2.0,122
SIKKIM,2022-04,1.0,14
SIKKIM,2022-05,1.0,5
SIKKIM,2022-06,1.0,10
TAMIL NADU,2022-03,1.0,4
TAMIL NADU,2022-04,3.0,395
TAMIL NADU,2022-05,3.0,412
TAMIL NADU,2022-06,3.0,351
TELANGANA,2022-03,1.0,1
TELANGANA,2022-04,3.0,406
TELANGANA,2022-05,3.0,410
TELANGANA,2022-06,3.0,399
TRIPURA,2022-03,1.0,1
TRIPURA,2022-04,1.0,16
TRIPURA,2022-05,1.0,4
TRIPURA,2022-06,1.0,5
UTTAR PRADESH,2022-03,1.0,6
UTTAR PRADESH,2022-04,3.0,391
UTTAR PRADESH,2022-05,3.0,387
UTTAR PRADESH,2022-06,2.0,343
UTTARAKHAND,2022-04,2.0,84
UTTARAKHAND,2022-05,1.0,88
UTTARAKHAND,2022-06,2.0,53
WEST BENGAL,2022-03,1.0,6
WEST BENGAL,2022-04,2.0,333
WEST BENGAL,2022-05,2.0,268
WEST BENGAL,2022-06,2.0,260
